Periodo,Electricidad
2009/01,68.4
2009/02,66.6
2009/03,74.4
2009/04,75.8
2009/05,89.3
2009/06,87.9
2009/07,93.3
2009/08,97.3
2009/09,95.1
2009/10,94.7
2009/11,81.9
2009/12,70.2
2010/01,74.6
2010/02,64.3
2010/03,68.1
2010/04,78.9
2010/05,92.7
2010/06,98.7
2010/07,103.6
2010/08,95.2
2010/09,90
2010/10,92.5
2010/11,78.7
2010/12,82.7
2011/01,86.1
2011/02,82.4
2011/03,101.1
2011/04,101
2011/05,101.8
2011/06,104.2
2011/07,107.8
2011/08,111.3
2011/09,109
2011/10,100.9
2011/11,93.7
2011/12,88.3
2012/01,89.2
2012/02,85
2012/03,100.3
2012/04,97.2
2012/05,106.8
2012/06,110.5
2012/07,114.9
2012/08,112.5
2012/09,114.6
2012/10,116.8
2012/11,101.8
2012/12,95.6
2013/01,99.4
2013/02,93.4
2013/03,98.1
2013/04,95.7
2013/05,104.4
2013/06,106.2
2013/07,109.5
2013/08,109.5
2013/09,101.1
2013/10,100.2
2013/11,93.1
2013/12,89.4
2014/01,91.9
2014/02,92.1
2014/03,104.3
2014/04,102
2014/05,108.8
2014/06,110
2014/07,111.8
2014/08,117.2
2014/09,113.3
2014/10,113.4
2014/11,102.1
2014/12,85.6
2015/01,85.4
2015/02,89.5
2015/03,103.1
2015/04,104.8
2015/05,107.7
2015/06,112.3
2015/07,120.4
2015/08,125
2015/09,130.9
2015/10,132.7
2015/11,122.1
2015/12,120.7
2016/01,111.3
2016/02,114.2
2016/03,112.9
2016/04,116.5
2016/05,112.7
2016/06,120.6
2016/07,112.8
2016/08,106.8
2016/09,106.9
2016/10,108.5
2016/11,106.6
2016/12,95.9
2017/01,89.8
2017/02,86.8
2017/03,94.8
2017/04,85.5
2017/05,95.9
2017/06,99.1
2017/07,104.5
2017/08,104.6
2017/09,111.9
2017/10,101.6
2017/11,110.4
2017/12,103.5
2018/01,111.6
2018/02,105.2
2018/03,97.2
2018/04,107.3
2018/05,100.3
2018/06,109.7
2018/07,115.5
2018/08,113.8
2018/09,118.2
2018/10,118.5
2018/11,117.8
2018/12,97.5
2019/01,115.5
2019/02,98.4
2019/03,99.8
2019/04,105.9
2019/05,118.3
2019/06,122.9
2019/07,122.6
2019/08,128.5
2019/09,137.7
2019/10,139
2019/11,109.6
2019/12,99.1
2020/01,92.8
2020/02,80.4
2020/03,79
2020/04,77.9
2020/05,77.7
2020/06,100.4
2020/07,112.1
2020/08,120.7
2020/09,108.7
2020/10,102
2020/11,93.3
2020/12,78.3
2021/01,75
2021/02,74.8
2021/03,80.3
2021/04,83.2
2021/05,89.4
2021/06,109.2
2021/07,118.1
2021/08,97.8
2021/09,103.2
2021/10,96.1
